姓名,擅长,预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
蒋炜,擅长：                                慢性肝病及胃肠疾病，包括：1）慢性乙肝肝纤维化的优化治疗；2）肝硬化及自身免疫性肝病规范诊治；3）胃肠疾病的综合治疗,6866预约量
张顺财,擅长：                                肝病、消化系统疾病诊治,9661预约量
孙剑勇,擅长：                                胃肠病及肝病诊治,1.0万预约量
沈锡中,擅长：                                胃肠病、慢性肝病诊治,6715预约量
董玲,擅长：                                胃肠道疾病及慢性肝病的诊治，胃肠道肿瘤化疗,9973预约量
陈世耀,擅长：                                胃肠道疾病，内窥镜诊治,6630预约量
王吉耀,擅长：                                慢性肝病、胃肠病诊治,1970预约量
傅志君,擅长：                                胰腺及胃肠肝胆等消化系统疾病诊治,3326预约量
郭津生,擅长：                                胃肠病及肝病的诊治,2490预约量
夏德全,擅长：                                消化系统疾病,903预约量
张希德,擅长：                                消化内科疑难杂症的诊治,1177预约量
钟春玖,擅长：                                神经系统疑难杂症诊治,5092预约量
丁晶,擅长：                                癫痫、脑血管病、帕金森病诊治及神经保护策略,2701预约量
范薇,擅长：                                脑血管病、帕金森病、癫痫诊治,4503预约量
杜鹏,擅长：                                头痛、眩（头）晕、癫痫及脱髓鞘疾病诊治；脑电图,1759预约量
马昱,擅长：                                癫痫、脑血管病,3972预约量
张宇浩,擅长：                                癫痫病、头痛及脑血管病等神经内科疾病的诊治,1085预约量
费国强,擅长：                                神经内科疾病，尤其痴呆、帕金森病等。,221预约量
谢瑞满,擅长：                                神经科中风、震颤、痴呆等,6519预约量
董继宏,擅长：                                运动神经元病、各种周围神经病、重症肌无力和肌肉疾病的诊治,2889预约量
金莉蓉,擅长：                                运动障碍，尤其是帕金森病；脑血管病诊治,2137预约量
刘旭,擅长：                                癫痫，认知功能障碍及脑血管病。,197预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
彭伟锋,擅长：                                癫痫，癫痫合并抑郁症等共患病，以及其他神经系统疾病,263预约量
钟春玖,擅长：                                神经系统疑难杂症诊治,5092预约量
丁晶,擅长：                                癫痫、脑血管病、帕金森病诊治及神经保护策略,2701预约量
范薇,擅长：                                脑血管病、帕金森病、癫痫诊治,4503预约量
汪昕,擅长：                                神经系统疑难杂症，尤其癫痫诊治,2515预约量
朱文炳,擅长：                                神经系统疑难杂症的诊治。,488预约量
丁小强,擅长：                                各种肾脏疾病、尿路感染、透析、肾移植诊治,4215预约量
钟一红,擅长：                                各种肾脏病、血液透析和腹膜透析、肾移植，尤擅长尿路感染治疗,2484预约量
俞小芳,擅长：                                血尿、蛋白尿、慢性肾炎、肾功能减退、尿毒症腹膜透析治疗、尿路感染、高尿酸血症和痛风的诊治 。,803预约量
陈利明,擅长：                                诊治各种原发性和继发性肾小球疾病、难治性肾病综合征的综合治疗、慢性肾脏病的血液净化疗法。,905预约量
滕杰,擅长：                                急慢性肾功能不全、血液透析、腹膜透析、慢性肾炎、糖尿病肾病、高血压肾病及狼疮性肾炎诊治,6112预约量
吴兆龙,擅长：                                1965年毕业于上海第一医学院医学系本科，教授，博士生导师，曾任中山医院肾内科主任，主要从事肾内科，尤其是肾小球肾炎等各种肾脏病的诊断治疗、急慢性肾功能衰竭的临床研究，包括血...,689预约量
朱加明,擅长：                                各类急慢性肾病、原发和继发性肾炎、难治性肾病综合征、糖尿病肾病的精准、规范、创新和综合诊治。,437预约量
刘红,擅长：                                急慢性肾脏疾病的诊治，尤为擅长对慢性肾小球肾炎、IgA肾病、狼疮性肾炎的诊治,5367预约量
吉俊,擅长：                                急慢性肾脏病的诊治，血液透析及腹膜透析治疗,4942预约量
袁敏,擅长：                                血尿、蛋白质、肝炎相关肾炎、慢性肾小球肾炎、肾病综合征和尿路感染等疾病的诊治,7303预约量
邹建洲,擅长：                                内科肾脏病的诊治，血液净化,3592预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
方艺,擅长：                                慢性肾脏病的早期防治及肾脏疾病的病理诊断,1971预约量
丁小强,擅长：                                各种肾脏疾病、尿路感染、透析、肾移植诊治,4215预约量
钟一红,擅长：                                各种肾脏病、血液透析和腹膜透析、肾移植，尤擅长尿路感染治疗,2484预约量
滕杰,擅长：                                急慢性肾功能不全、血液透析、腹膜透析、慢性肾炎、糖尿病肾病、高血压肾病及狼疮性肾炎诊治,6112预约量
吴兆龙,擅长：                                1965年毕业于上海第一医学院医学系本科，教授，博士生导师，曾任中山医院肾内科主任，主要从事肾内科，尤其是肾小球肾炎等各种肾脏病的诊断治疗、急慢性肾功能衰竭的临床研究，包括血...,689预约量
徐元钊,擅长：                                肾脏疾病诊治、透析治疗,1878预约量
蒋金根,擅长：                                肾内科疾病、透析、肾移植,1468预约量
李锋,擅长：                                血液肿瘤，白细胞减少、贫血等诊治,876预约量
邹善华,擅长：                                淋巴结肿大、淋巴瘤、各种贫血、多发性骨髓瘤、M蛋白血症、白血病和血小板减少等疾病的诊治,1206预约量
庄静丽,擅长：                                血液系统疾病，各种贫血、急慢性白血病、恶性淋巴瘤、多发性骨髓瘤等诊治,2334预约量
程韵枫,擅长：                                血小板减少，再生障碍性贫血,1653预约量
刘澎,擅长：                                多发性骨髓瘤、淋巴瘤、淀粉样变性、白血病、骨髓增生异常综合征及各类贫血。,1184预约量
徐建民,擅长：                                血液肿瘤诊治、造血干细胞移植,351预约量
王志梅,擅长：                                贫血等血液疾病诊治,1008预约量
季丽莉,擅长：                                血小板减少，白细胞减少，淋巴结肿大，M蛋白血症，血小板增多，白细胞增多，红细胞增多,49预约量
血液科门诊,擅长：                                血液科门诊,452预约量
贫血专病门诊,擅长：                                贫血专病门诊,91预约量
M蛋白血症,擅长：                                M蛋白血症诊断治疗,77预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
淋巴结肿大,擅长：                                淋巴结肿大,42预约量
李锋,擅长：                                血液肿瘤，白细胞减少、贫血等诊治,876预约量
邹善华,擅长：                                淋巴结肿大、淋巴瘤、各种贫血、多发性骨髓瘤、M蛋白血症、白血病和血小板减少等疾病的诊治,1206预约量
程韵枫,擅长：                                血小板减少，再生障碍性贫血,1653预约量
刘澎,擅长：                                多发性骨髓瘤、淋巴瘤、淀粉样变性、白血病、骨髓增生异常综合征及各类贫血。,1184预约量
徐建民,擅长：                                血液肿瘤诊治、造血干细胞移植,351预约量
王宝珍,擅长：                                治疗血液科各种疾病，尤其造血系统肿瘤，如各种类型急性白血病、慢性白血病、骨髓增生症、淋巴瘤、骨髓瘤等,暂无预约量
姜林娣,擅长：                                擅长诊治系统性红斑狼疮、类风关、强直性脊柱炎、痛风、肌炎、干燥综合征等,5379预约量
於强,擅长：                                风湿疾病及血管炎诊治,6107预约量
陈慧勇,擅长：                                炎性关节病、红斑狼疮等风湿性疾病,953预约量
痛风专科门诊,擅长：                                      暂无,460预约量
风湿免疫门诊,擅长：                                系统性血管炎(大动脉炎、ANCA相关性血管炎、白塞氏病等)、类风湿关节炎、血清阴性脊柱关节病(强直性脊柱炎、反应性关节炎等)、高尿酸血症和痛风性关节炎、系统性红斑狼疮、成人s...,1819预约量
慢性发热门诊,擅长：                                慢性发热门诊,43预约量
关节炎诊治整合门诊,擅长：                                      暂无,42预约量
免疫性血管炎,擅长：                                免疫性血管炎,16预约量
类风关专科门诊,擅长：                                类风关专科门诊,17预约量
（风湿科）骨质疏松整合门诊,擅长：                                （风湿科）骨质疏松整合门诊,暂无预约量
风湿科普通门诊,擅长：                                风湿科普通门诊,暂无预约量
保健风湿免疫,擅长：                                保健风湿免疫,暂无预约量
姜林娣,擅长：                                擅长诊治系统性红斑狼疮、类风关、强直性脊柱炎、痛风、肌炎、干燥综合征等,5379预约量
干育红,擅长：                                期肝癌的综合治疗，尤其擅长小肝癌的微创射频消融术,3446预约量
张博恒,擅长：                                肝癌的诊断和综合治疗,2256预约量
葛宁灵,擅长：                                肝肿瘤诊断，局部消融、介入、生物靶向及综合治疗,2791预约量
薛同春,擅长：                                原发性肝癌的诊治，包括介入手术微创治疗。,276预约量
殷欣,擅长：                                肝癌的诊断及综合治疗。,277预约量
王艳红,擅长：                                肝肿瘤诊断及治疗,5092预约量
叶胜龙,擅长：                                肝脏肿瘤诊断与综合治疗,2099预约量
夏景林,擅长：                                肝癌介入治疗、射频治疗,1449预约量
陈漪,擅长：                                肝肿瘤的诊断及综合治疗,4181预约量
陈荣新,擅长：                                肝肿瘤诊断，介入治疗,3231预约量
张岚,擅长：                                肝肿瘤微创消融治疗、介入治疗、分子靶向治疗和综合治疗 。,512预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
杨毕伟,擅长：                                肝脏良恶性肿瘤的鉴别，肝脏恶性肿瘤的介入治疗、靶向治疗及综合治疗,1400预约量
干育红,擅长：                                期肝癌的综合治疗，尤其擅长小肝癌的微创射频消融术,3446预约量
张博恒,擅长：                                肝癌的诊断和综合治疗,2256预约量
王艳红,擅长：                                肝肿瘤诊断及治疗,5092预约量
叶胜龙,擅长：                                肝脏肿瘤诊断与综合治疗,2099预约量
夏景林,擅长：                                肝癌介入治疗、射频治疗,1449预约量
任正刚,擅长：                                肝癌射频消融，介入及综合治疗,5670预约量
林芷英,擅长：                                小肝癌诊断和治疗。,454预约量
杨秉辉,擅长：                                肝癌的诊断及治疗,98预约量
陆继珍,擅长：                                肝脏肿瘤的诊断和鉴别诊断,6预约量
卞华,擅长：                                糖尿病及各种内分泌疾病，如：甲状腺、肾上腺、垂体疾病的诊治工作；尤其擅长代谢内分泌疾病、糖尿病、肥胖、脂肪肝、甲状腺疾病的诊治。,2310预约量
林寰东,擅长：                                糖尿病、代谢综合征、甲亢、甲状腺结节等内分泌代谢疾病的诊治,3426预约量
殳雪怡,擅长：                                糖尿病及其并发症、甲状腺功能亢进的诊治,5985预约量
李小英,擅长：                                内分泌代谢病、特别擅长糖尿病及性发育异常的诊治,173预约量
陆志强,擅长：                                代谢及内分泌疑难疾病的诊治，尤其是内分泌高血压、内分泌肿瘤（垂体瘤、肾上腺瘤、胰腺内分泌瘤）、甲状腺结节、性发育异常和糖尿病等疾病。,3531预约量
于明香,擅长：                                内分泌与代谢疾病：骨质疏松、糖尿病、甲状腺疾病、甲状旁腺疾病、肥胖与月经失调、内分泌高血压、下丘脑/垂体疾病，尤其骨代谢疑难杂症与器官移植后糖尿病。,6006预约量
姚君厘,擅长：                                糖尿病、甲亢等内分泌疾病诊治,5525预约量
石凤英,擅长：                                糖尿病、甲亢、老年病康复治疗,2262预约量
凌雁,擅长：                                糖尿病、肾上腺疾病、血脂紊乱的诊治,2339预约量
李晓牧,擅长：                                糖尿病、垂体疾病、肾上腺疾病、内分泌高血压的诊治,1799预约量
余丹菁,擅长：                                糖尿病、甲亢、更年期激素补充治疗,6798预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
内分泌科门诊,擅长：                                内分泌科门诊,8802预约量
卞华,擅长：                                糖尿病及各种内分泌疾病，如：甲状腺、肾上腺、垂体疾病的诊治工作；尤其擅长代谢内分泌疾病、糖尿病、肥胖、脂肪肝、甲状腺疾病的诊治。,2310预约量
林寰东,擅长：                                糖尿病、代谢综合征、甲亢、甲状腺结节等内分泌代谢疾病的诊治,3426预约量
李小英,擅长：                                内分泌代谢病、特别擅长糖尿病及性发育异常的诊治,173预约量
陆志强,擅长：                                代谢及内分泌疑难疾病的诊治，尤其是内分泌高血压、内分泌肿瘤（垂体瘤、肾上腺瘤、胰腺内分泌瘤）、甲状腺结节、性发育异常和糖尿病等疾病。,3531预约量
于明香,擅长：                                内分泌与代谢疾病：骨质疏松、糖尿病、甲状腺疾病、甲状旁腺疾病、肥胖与月经失调、内分泌高血压、下丘脑/垂体疾病，尤其骨代谢疑难杂症与器官移植后糖尿病。,6006预约量
石凤英,擅长：                                糖尿病、甲亢、老年病康复治疗,2262预约量
高鑫,擅长：                                糖尿病、肥胖、脂肪肝、内分泌高血压、甲状腺疾病、垂体瘤、内分泌疑难症诊治,4484预约量
曹金枢,擅长：                                内科各疾病,暂无预约量
姚君厘,擅长：                                糖尿病、甲亢等内分泌疾病诊治,5525预约量
陈百华,擅长：                                高血压病、脑血管疾病及内科领域的一些疑难杂疾病的诊治,1592预约量
徐伟,擅长：                                老年内科疾病的诊治,272预约量
邱东鹰,擅长：                                老年心脑血管、胃肠道疾病及骨质疏松的诊治,1693预约量
应赛亚,擅长：                                内科疾病的诊治,2724预约量
罗蔓,擅长：                                内科常见病、多发病的诊治,398预约量
内科门诊,擅长：                                内科常见疾病,3353预约量
蔡则骥,擅长：                                内科疾病的诊断、血液科疾病的诊治,2777预约量
顾月英,"擅长：                                ""内科、血液科妇科杂症、妇科炎症、计划生育围产保健、高危妊娠 胎教咨询""",97预约量
陆明,擅长：                                内科疾病的诊治,546预约量
吴琳,擅长：                                老年内科疾病、老年内分泌疾病的诊治。,301预约量
吴琳,擅长：                                老年内科疾病、老年内分泌疾病的诊治。,301预约量
吴琳,擅长：                                老年内科疾病、老年内分泌疾病的诊治。,301预约量
胡必杰,擅长：                                （1）肺炎；（2）肺结节；（3）肺真菌病：隐球菌、曲霉菌；（4）肺部病灶诊断不明；（5）发热；（6）败血症和心内膜炎；（7）结核；（8）耐药菌感染与抗生素使用；（9）疑似细菌...,5684预约量
潘珏,擅长：                                各种原因不明的发热、肺部结节的鉴别诊断，肺炎、肺结核、骨关节感染、肝脓肿、心内膜炎、尿路感染、淋巴结结核等肺外结节。,4021预约量
感染病科,擅长：                                常见感染病,233预约量
肺外结核,擅长：                                肺外结核病,8预约量
金文婷,擅长：                                分枝杆菌感染、肺部感染、尿路感染、发热待查等疾病的诊治,暂无预约量
周晴,擅长：                                主要擅长肺部感染（包括细菌性，真菌性-隐球菌、曲霉菌、ABPA等）、尿路感染、腹腔感染、手术部位感染、院内感染、多重耐药菌感染等感染性疾病的诊疗,暂无预约量
张尧,擅长：                                深部细菌、真菌感染的诊治，肺外结核的诊治，发热待查的鉴别诊断,暂无预约量
李冰,擅长：                                胃肠道感染、肝脓肿、术后感染，手术部位感染、发热待查等的诊治,暂无预约量
苏逸,擅长：                                肺隐球菌病及其他肺部细菌、真菌性感染,暂无预约量
马玉燕,擅长：                                肺炎、泌尿系感染、骨关节感染、发热待查等疾病的诊治,暂无预约量
黄英男,擅长：                                腹腔感染、肺部感染、发热待查 深部细菌、真菌感染的诊治，肺外结核的诊治，发热待查的鉴别诊断,暂无预约量
王青青,擅长：                                心脏植入物感染、心内膜炎、肺部感染、发热待查等,暂无预约量
王青青,擅长：                                心脏植入物感染、心内膜炎、肺部感染、发热待查等,暂无预约量
王青青,擅长：                                心脏植入物感染、心内膜炎、肺部感染、发热待查等,暂无预约量
王青青,擅长：                                心脏植入物感染、心内膜炎、肺部感染、发热待查等,暂无预约量
王青青,擅长：                                心脏植入物感染、心内膜炎、肺部感染、发热待查等,暂无预约量
王青青,擅长：                                心脏植入物感染、心内膜炎、肺部感染、发热待查等,暂无预约量
王青青,擅长：                                心脏植入物感染、心内膜炎、肺部感染、发热待查等,暂无预约量
胡必杰,擅长：                                （1）肺炎；（2）肺结节；（3）肺真菌病：隐球菌、曲霉菌；（4）肺部病灶诊断不明；（5）发热；（6）败血症和心内膜炎；（7）结核；（8）耐药菌感染与抗生素使用；（9）疑似细菌...,5684预约量
潘珏,擅长：                                各种原因不明的发热、肺部结节的鉴别诊断，肺炎、肺结核、骨关节感染、肝脓肿、心内膜炎、尿路感染、淋巴结结核等肺外结节。,4021预约量
秦新裕,擅长：                                普外科疾病，尤其胃肠外科疾病诊断及手术治疗,12预约量
楼文晖,擅长：                                普外科疾病诊治，尤擅长胆胰肿瘤的外科诊治,787预约量
宋陆军,擅长：                                普外科疾病，尤其胆道、甲状腺、胃肠道肿瘤的外科诊治及微创手术,2483预约量
张勇,擅长：                                胃肠肿瘤的外科诊疗及乳腺癌的综合诊治,396预约量
汪学非,擅长：                                普外科常见疾病的规范化诊治，尤其擅长胃肠道肿瘤的外科治疗和多学科协作综合治疗,26预约量
罗文杰,擅长：                                普外科，尤其乳腺疾病、消化道肿瘤、甲状腺外科、腹外疝等疾病的诊治,暂无预约量
许剑民,擅长：                                胃、结直肠肿瘤及转移性肝癌的诊治,1.9万预约量
刘厚宝,擅长：                                普外科疾病诊治，特别擅长胆囊癌、胆管癌、壶腹部癌及胆石症等胆胰疾病的诊治和胃肠肿瘤外科手术。,5552预约量
靳大勇,擅长：                                普外科疾病，尤其胰腺疾病的诊治,4150预约量
吴国豪,擅长：                                普外科疾病诊治，尤其胃肠道肿瘤手术、临床营养治疗,5495预约量
牛伟新,擅长：                                甲状腺、乳腺及胃肠道肿瘤的诊治,2607预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
秦新裕,擅长：                                普外科疾病，尤其胃肠外科疾病诊断及手术治疗,12预约量
楼文晖,擅长：                                普外科疾病诊治，尤擅长胆胰肿瘤的外科诊治,787预约量
宋陆军,擅长：                                普外科疾病，尤其胆道、甲状腺、胃肠道肿瘤的外科诊治及微创手术,2483预约量
孙益红,擅长：                                普外科疾病诊治，尤擅长胃肠道肿瘤病变的诊治及普通外科疾病诊治,5预约量
张勇,擅长：                                胃肠肿瘤的外科诊疗及乳腺癌的综合诊治,396预约量
姚礼庆,擅长：                                普外科疾病及内窥镜治疗。,852预约量
许剑民,擅长：                                胃、结直肠肿瘤及转移性肝癌的诊治,1.9万预约量
刘厚宝,擅长：                                普外科疾病诊治，特别擅长胆囊癌、胆管癌、壶腹部癌及胆石症等胆胰疾病的诊治和胃肠肿瘤外科手术。,5552预约量
靳大勇,擅长：                                普外科疾病，尤其胰腺疾病的诊治,4150预约量
吴国豪,擅长：                                普外科疾病诊治，尤其胃肠道肿瘤手术、临床营养治疗,5495预约量
牛伟新,擅长：                                甲状腺、乳腺及胃肠道肿瘤的诊治,2607预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
葛棣,擅长：                                胸外科疾病及疑难杂症。肺癌、食管癌外科治疗；漏斗胸、纵膈肿瘤外科治疗；支气管胸膜瘘治疗；胸腔镜微创手术。,3249预约量
谭黎杰,擅长：                                微创胸外科手术；肺癌、食管癌的规范化治疗,3589预约量
王群,擅长：                                肺部肿瘤、食管癌、纵隔肿瘤的外科治疗及胸腔镜诊疗,8796预约量
徐松涛,擅长：                                肺癌、食管癌、纵隔肿瘤等胸外科疾病，胸腔镜,2681预约量
卢春来,擅长：                                胸外科常见疾病（肺癌、肺部小结节、食管癌及纵隔肿瘤等）的外科诊治。,1261预约量
时雨,擅长：                                胸部恶性肿瘤及良性疾病的微创治疗，包括肺部玻璃结节（GGO）、早期肺癌、手汗症、气胸、肺大泡、纵隔肿瘤等。,466预约量
范虹,擅长：                                肺部肿瘤（结节）、食管肿瘤、纵隔肿瘤（胸腺瘤）的胸腔镜微创手术和机器人微创手术，气管良恶性疾病的手术治疗。,2507预约量
刘愉,擅长：                                肺癌、食管癌、贲门癌、纵膈肿瘤的外科诊治,1874预约量
袁云锋,擅长：                                专攻GGO(磨玻璃影)、GGN(磨玻璃结节)及其他肺小结节的诊断和治疗；擅长胸腔镜/机器人微创手术，如微创肺叶、肺段切除、微创肺癌根治术、纵隔镜、EBUS、微创纵隔肿瘤切除、...,2970预约量
林宗武,擅长：                                肺部磨玻璃结节（毛玻璃结节）、早期肺癌、手汗症、气胸、肺大疱、纵隔肿瘤（包括胸腺瘤等）、食管癌、食管良性肿瘤等的微创治疗。尤其擅长单孔胸腔镜肺手术。,445预约量
丁建勇,擅长：                                胸腺疾病的外科诊治、纵隔镜,1459预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
